item_name,item_category
"IC, XC95144XL",IC
"PCBA, SYSTEM BOARD, MICARIDA",Printed Circuit Board Assembly
"PCBA, SYSTEM BOARD, MICARIDA",Printed Circuit Board Assembly
"Transformer Assembly, Power - 4/4:1",Transformer
"PCBA, SYSTEM BOARD",Printed Circuit Board Assembly
"PCBA, SYSTEM BOARD, ASTHMATIX",Printed Circuit Board Assembly
"PCBA, RF SYSTEM BOARD, ASTHMATX",Printed Circuit Board Assembly
"PCBA, RF SYSTEM BOARD, ASTHMATX",Printed Circuit Board Assembly
"Transformer Assembly, 4/4:20",Transformer
"Inductor Assembly, 25uH, 2616 Can",Inductor
"Inductor Assembly, 9uH, 2616 Can",Inductor
"PCBA, ASST COMPACT CONTROLLER",Printed Circuit Board Assembly
"Inductor Assembly, 9uH, 2616 Can",Inductor
"Inductor Assembly, 25uH, 2616 Can",Inductor
"IC, 2.93V Supply Monitor, SOT23-5",IC
"IC,TPS3828-50,Supply Monitor,SOT23-",IC
"IC,ROHS, TPS3828-50,SUPPLY MONITOR,",IC
"IC, TPS3828-33DBVT, Supply Monitor,",IC
"IC,ROHS, TPS3828-33DBVT, SUPPLY MON",IC
"IC,ROHS, TPS2051BDBVR, SOT23-5",IC
"IC, RoHS, TPS2530, SOT23-5",IC
"PCBA, RF Sys Bd, RFG G2X2, Medtronic",Printed Circuit Board Assembly
"PCBA, RF Sys,Bd,RFG G2X2 Medtronic",Printed Circuit Board Assembly
"PCBA, RF SYSTEM BD GL RFG ARDIAN",Printed Circuit Board Assembly
"PCBA, RF SYSTEM BD GL RFG ARDIAN",Printed Circuit Board Assembly
"Inductor Assembly, 27uH, 2616 Can",Inductor
"Inductor Assembly, 10uH, 2616 Can",Inductor
"Transformer Assembly, Power",Transformer
"PCBA, ROHS SYSTEM RFG MODEL G3 PLUS MEDTRONIC",Printed Circuit Board Assembly
"PCBA, RoHS, System, RFG Model G3 Plus, Medtronic",Printed Circuit Board Assembly
"PCBA,RoHS, System Board, RFG G3, Med",Printed Circuit Board Assembly
"PCBA, RoHS, System, RFG G3, Medtroni",Printed Circuit Board Assembly
"PCBA,ROHS, SYSTEM, RFG G3, MEDTRONIC",Printed Circuit Board Assembly
"PCBA,ROHS, SYSTEM, RFG G3, MEDTRONIC",Printed Circuit Board Assembly
"PCBA,ROHS, SYSTEM, RFG G3, MEDTRONIC",Printed Circuit Board Assembly
"PCBA,ROHS, SYSTEM, RFG G3, MEDTRONIC",Printed Circuit Board Assembly
"PCBA,RoHS, RF Board, RFG G3, Medtro",Printed Circuit Board Assembly
"PCBA,RoHS, RF Board, RFG G3, Medtro",Printed Circuit Board Assembly
"PCA,19 PIN RECEPTACLE, RFG G3",Printed Circuit Board Assembly
"PCA, 4 PIN RECEPTACLE, RFG G3",Printed Circuit Board Assembly
"PCA, USB Receptacle, RFG, G3",Printed Circuit Board Assembly
"PCBA, RoHS, G3 Remote Controller Boa",Printed Circuit Board Assembly
"Label Assembly, RoHS, RFID FCC, RFG",Label
PCA RFID ANTENNA,Printed Circuit Board Assembly
PCA RFID ANTENNA,Printed Circuit Board Assembly
"PCBA, Sys BD, Mag Stim, EM Kinetics",Printed Circuit Board Assembly
"PCBA, Sys BD, Mag Stim, EM Kinetics",Printed Circuit Board Assembly
"IC,HCPL-2631-020,Optoisolator,Dual,",IC
"IC, RoHS, HCPL-2631-020,Optoisolator, Dual, Dip8",IC
"IC,HCPL-2231,Optoisolator,Dual,",IC
"IC, RoHS, HCPL-2231,Optoisolator, Dual, Dip8",IC
"IC,HCPL-2631,Optoisolator,Dual,Dip8",IC
"IC,RoHS,HCPL-2631,Optoisolator,Dual,Dip8",IC
"IC,PVN012,6 DIP",IC
"IC, HCPL2531-020, Optoisolator, Dua",IC
"IC, HCNW2601, Optocoupler, Single,",IC
"IC,ROHS, HCNW2601, OPTOCOUPLER, SIN",IC
"IC, HCPL 2400#300, Optoisolator, SO",IC
"IC,ROHS, HCPL-2400-300E, OPTOISOLAT",IC
"IC, HCPL-7840-300E, 8-SMD - 10.3mm",IC
"IC, HCNR200-300E, SO8 Gullwing",IC
"IC, PS9552L3-E3-AX, SO8WB-9.7mm",IC
"IC,ACPL-K64L, Opto Coupler, Dual, S",IC
IC ROHS ACPL-K64L OPTO COUPLER DUAL,IC
IC ROHS ACPL-W61L OPTOCOUPLER SINGL,IC
"IC, RoHS, ADUM4401CRIZ, SO16-RI16",IC
"IC, RoHS, ADUM2211TRIZ, SO16-RI16",IC
"IC, RoHS,ADUM2250ARWZ, SO16-RI16, ADUM2250ARWZ",IC
"IC, RoHS, ADUM4402, SO16 - RI16",IC
"IC, RoHS, ADUM3160BRWZ, SO16 - RW16",IC
"IC, RoHS, OPTO, PC81710NIP0X, 4SMD",IC
"IC, RoHS, OPTO, HCPL-3120-300E, SMD",IC
"IC, RoHS, OPTO, HCPL-7800A-300E, 8SMD",IC
"IC, RoHS, SENSOR, STLM20W87F, SOT323-5",IC
"IC, RoHS, LINEAR, LM324, 14-SOP",IC
"IC, RoHS, LINEAR, LM393, 8-SOP",IC
"IC, RoHS, LINEAR, AD823, 8SOIC",IC
"IC, RoHS, LINEAR, TSM104WA, 16SOIC",IC
"IC, RoHS, INTERFACE, SN65HVD32, 8SOIC",IC
"IC, RoHS, SPECIAL, ADUM5241, 8SOIC",IC
"IC, RoHS, DAC, MCP4728, 10-MSOP",IC
"IC, RoHS, SPECIAL, TSM102IDR, 16-SOIC",IC
"IC, RoHS, SPECIAL, AD7991, TSOT23-8",IC
"IC, RoHS, SPECIAL, LM4871, 8SOIC",IC
"IC, RoHS, LINEAR, LM7121, SOT23-5",IC
"IC, RoHS, OSC, LTC6903, 8-MSOP",IC
"IC, RoHS, SPECIAL, IXDD614CI, TO263-5",IC
"IC, RoHS, LOGIC, SN74AC04, 14SOIC",IC
"IC, RoHS, SPECIAL, DS1340Z-33+, RTC, 8SOIC",IC
"IC, RoHS, LOGIC, EPM3064A, 44TQFP",IC
"IC, RoHS, SPECIAL, MAX11636, 16QSOP",IC
"IC, RoHS, SPECIAL, TPS3808, SOT23-6",IC
"IC, RoHS, MICRO, MC56F8006, 48LQFP",IC
"IC, RoHS, MICRO, MC56F8257, 64LQFP",IC
"IC, RoHS, VREF, TL431, ADJ, SOT23-3",IC
"IC, RoHS, SPECIAL, UCC28060D, 16SOIC",IC
"IC, RoHS, VREG, L78M15AC, 15V, DPAK",IC
"LED, RoHS, Blue-40mA, T-1 3/4, PC Mt",Diode
"LED, RoHS, Grn, 12mA, T1, PC Mt",Diode
"IC,Optocoupler,PVT312,DIP6",IC
"IC, HCPL-2400-000E, OPTOCOUPLER, 8D",IC
"LED,RoHS, Green, 30ma, 0805",Diode
"PCBA, SYSTEM BD MAG STIM",Printed Circuit Board Assembly
"PCBA, System Board, Minerva",Printed Circuit Board Assembly
"Sensor Compressor, RoHs, Gen 2 Generator, Minerva",Tool
PCA ROHS CO2 FLOW BOARD GEN 2 MINERVA,Printed Circuit Board Assembly
PCBA RoHS CO2 FLOW BOARD GEN2 MINERVA,Printed Circuit Board Assembly
"PCA, RoHS, Argon Limit Switch, Minerva",Printed Circuit Board Assembly
"PCA, RoHS, Argon Limit Switch, Minerva",Printed Circuit Board Assembly
"PCA, RoHS, CO2 Limit Switch, Minerva",Printed Circuit Board Assembly
"PCA, RoHS, CO2 Limit Switch, Minerva",Printed Circuit Board Assembly
"Assy PCBA Gen 2 System Board, Aurora RF Controller, Minerva",Printed Circuit Board Assembly
"PCBA, RoHS Gen 2 System BD Aurora RF Controller Minerva",Printed Circuit Board Assembly
"PCA, RoHS, System Board, Gen 2 RF Controller, Minerva",Printed Circuit Board Assembly
PCBA RoHS GEN 2 SYSTEM BD AURORA RF,Printed Circuit Board Assembly
PCBA RoHS GEN 2 SYSTEM BD AURORA RF,Printed Circuit Board Assembly
"FAB, RoHS, Gen 2 Pneumatic Board, Aurora RF Controller, Minerva",Printed Circuit Board
"PCBA, RoHS, Gen 2 Pneumatic Board, Aurora RF Controller, Minerva",Printed Circuit Board Assembly
"Assy PCBA Gen 2 Pneumatic Board, Aurora RF Controller, Miner",Printed Circuit Board Assembly
"Assy PCBA Gen 2 Pneumatic BD, Aurora RF Controller,Miner",Printed Circuit Board Assembly
"Assy PCBA Gen 2 Pneumatic Board, Aurora RF Controller, Miner",Printed Circuit Board Assembly
"Assy PCBA Gen 2 Pneumatic Board, Aurora RF Controller, Miner",Printed Circuit Board Assembly
"PCBA Gen 2 Pneumatic BD, Aurora RF Controller,Miner",Printed Circuit Board Assembly
PCBA RoHS Gen 2 Pneumatic Bd Aurora,Printed Circuit Board Assembly
"Battery, 3V, Lithium Coin, 20mm, W/",Battery / Charger
"BATTERY,ROHS, 3V, LITHIUM COIN, 20M",Battery / Charger
"Battery,3V,LITHIUM,20MM",Battery / Charger
"Battery Holder, RoHS, CR2032",Battery / Charger
"PCBA, SYSTEM BOARD AEGEA",Printed Circuit Board Assembly
"Conv, RoHS, NMS-1212C",Misc. Electrical
"PCBA, SYSTEM BOARD A250 GENERATOR",Printed Circuit Board Assembly
"PCA, RoHS, System, ForeMed 360",Printed Circuit Board Assembly
"ASSY, PCBA, RoHS, System Board, 600 RFG, ForeMed",Printed Circuit Board Assembly
"PCBA, SYSTEM BOARD, RFG ANGIOCARE 50",Printed Circuit Board Assembly
"PCBA, ASSY System Board, Cibiem",Printed Circuit Board Assembly
"Trans Volt, RoHS, Sup, 15V, B1, DO214",Diode
PCA ROHS CPLD ADAPTER,Printed Circuit Board Assembly
"PCBA, RoHS, SYSTEM BOARD, IOGYN",Printed Circuit Board Assembly
PCA ROHS SYSTEM BOARD RELIEVANT,Printed Circuit Board Assembly
PCA ROHS SYSTEM BOARD RELIEVANT,Printed Circuit Board Assembly
PCA ROHS SYSTEM BOARD RELIEVANT,Printed Circuit Board Assembly
"PCBA, RoHS, System Board, Relievant",Printed Circuit Board Assembly
"PCBA RoHS, System Board, Relievant",Printed Circuit Board Assembly
"PCBA RoHS, System Board, Relievant",Printed Circuit Board Assembly
"PCBA RoHS, System Board, Relievan",Printed Circuit Board Assembly
"Inductor Assembly, RoHS, 25uH, 2616 Can",Inductor
PCBA ROHS LEMO RELIEVANT,Printed Circuit Board Assembly
"PCBA, RoHS, Lemo, Relievant",Printed Circuit Board Assembly
"PCBA, RoHS, Lemo, Relievant",Printed Circuit Board Assembly
"Inductor Assembly, RoHS, 56uH, 2616 Can",Inductor
PCA ROHS SMART ID,Printed Circuit Board Assembly
"PCBA, RoHS, SmartID",Printed Circuit Board Assembly
"PCBA, RoHS, SmartID",Printed Circuit Board Assembly
"ASSY,PCBA  RoHS, Smart ID",Printed Circuit Board Assembly
"PCA, Smart ID Emulator, Relievant",Printed Circuit Board Assembly
"Inductor Assembly, RoHS, 56uH, 1811 Can",Inductor
"Inductor Assembly, RoHS, 25uH, 1811 Can",Inductor
"PCBA, RoHS, System Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
PCA ROHS SYSTEM BOARD ANGIOCARE GEN2 RFG,Printed Circuit Board Assembly
"PCBA, RoHS, System Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
"PCBA, RoHS, System Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
"PCBA, RoHS, System Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
"PCBA, RoHS, System Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
PCA ROHS RF BOARD ANGIOCARE GEN 2 RFG,Printed Circuit Board Assembly
PCA ROHS RF BOARD ANGIOCARE GEN2 RFG,Printed Circuit Board Assembly
"PCBA RoHS, RF Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
"PCBA RoHS, RF Board,  AngioCare Gen2 RFG, AngioCare",Printed Circuit Board Assembly
"IND,FULL-BRIDGE,100UH",Inductor
TRANSFORMER,Transformer
TRANSFORMER,Transformer
"PCA, RoHS, System Board, Veloxion",Printed Circuit Board Assembly
"PCA, RoHS, System Board, Veloxion",Printed Circuit Board Assembly
"PCA, RoHS, System Board, Veloxion",Printed Circuit Board Assembly
"PCA, RoHS, System Board, Veloxion",Printed Circuit Board Assembly
"Res,1.0K,1/2W,CF,5%",Resistor
"Res, 1.5K, 1/2W, CF, 5%",Resistor
"Res,Net, 1k, 10SIP, Bussed",Resistor
"Res Net,RoHS,1K, 10SIP, Bussed",Resistor
"Res Net,10K,10SIP,Bussed",Resistor
"Res Net, 330/390, 10SIP, TTL Termin",Resistor
"Res Net,333/470,10SIP,TTL Terminato",Resistor
"Res Net,4.7K,10SIP,Bussed",Resistor
"Resistor Network, 3 Isol, 2/10W, 2%",Resistor
"Resistor Network, 3 Isol, 2/10W, 2%",Resistor
"Resistor Network, 5 Bussed, 1/10W,",Resistor
"Res Net,1K,10SIP,Isol",Resistor
"Res Net,10K,SO16",Resistor
"Res Net,RoHS,10K,SO16",Resistor
"Res Net,10K,ISO,SO16",Resistor
"Res Net,RoHS,10K,ISO,SO16",Resistor
"Res Net,3.9K,SO16",Resistor
"Res Net, RoHS, 3.9K, SO16, 2%, Bussed",Resistor
"Res Net,330,Isolated,SO16",Resistor
"Res Net,330/470,SO14NB,TTL Terminat",Resistor
"Res Net,RoHS, 330/470,SO14NB,TTL Terminator",Resistor
RESNET 1K SO16,Resistor
"Res NET, 1K, Bussed, SO16NB",Resistor
"Res Net, 330, SO16NB, Isol",Resistor
"Res Net, 470, SO16nb, ISOL",Resistor
"Resnet, RoHS, 10K, Convex Term-Type x 1206, Bussed",Resistor
"Resnet, RoHS, 4.7K, Convex Term-Type x 0402, ISOL",Resistor
"Res, 2 Ohm, 3W, 1%",Resistor
"Res, 51, 3W, 5%, Axial, 0.8",Resistor
"RES,ROHS,51, 3W, 5%, AXIAL, 0.8",Resistor
"Res,RoHS, 12, 3W, 5%, Axial 0.8",Resistor
"Res, 100, 3W, 5%, Axial",Resistor
"RES,ROHS,100, 3W, 5%, AXIAL",Resistor
"Res,24, 2W, 5%, Axial 0.8",Resistor
"Res,5.0,3W,WW,1%",Resistor
"Res,6.8, 2W, 5%, Axial 0.8",Resistor
"Res,6.8, 3W, 5%, Axial",Resistor
"RES,ROHS,6.8, 3W, 5%, AXIAL",Resistor
"Res, 5.0K, 13W, 55, G Series Cap Di",Resistor
"Res, RoHS, 200K, 1/10W, 1%, 0603",Resistor
"Res, RoHS, 1.21K, 1/10W, 0.1%, 0603",Resistor
"Res, RoHS, 1.21K, 1/10W, 0.1%, 0603",Resistor
"Res, RoHS, 267, 1W, 1%, 2512",Resistor
"Res, RoHS, 267, 1W, 1%, 2512",Resistor
"Res, RoHS, 75.0, 1/20W, 1%, 0201",Resistor
"Res, RoHS, 100, 1/16W, 1%, 0402",Resistor
"RES,5.11K,1/8W,1%,0805",Resistor
"RES,33.2K,1/8W,1%,0805",Resistor
"RESISTOR, ROHS, 0 OHM, 1/20W, 0201",Resistor
"RES, 0.39R, 1/2W,1%,1206",Resistor
"RES,0.1R,1/8W,1%,0805",Resistor
"RES,332K,1/8W,1%,0805",Resistor
"RES,0.1R,1/2W,1%,2512",Resistor
"RES,1.5M,1/8W,1%,0805",Resistor
"RES,2.21K,1/4W,1%,1206",Resistor
"RES,16K,1/8W,1%,0805",Resistor
"RES,12K,1W,5%,2512",Resistor
"RES,8.2K,1/8W,1%,0805",Resistor
"RES,20K,1/8W,1%,0805",Resistor
"RES,22.1K,1/8W,1%,0805",Resistor
"RES,82K,1/8W,1%,0805",Resistor
"RES,49.9R,1/8W,1%,0805",Resistor
"RES,100R,1/8W,1%,0805",Resistor
"RES,200R,1/8W,1%,0805",Resistor
"Resistor, RoHS, 100K, 1W, 5%, 2512",Resistor
"Resistor, RoHS, 12.1K, 1/16 W, 1%, 0402",Resistor
"Resistor, RoHS, 1.50K, 1/16W, 1%, 0402",Resistor
"Resistor, RoHS, 47, 1/4W, 1%, 1206",Resistor
"Resistor, RoHS, 2.2, 1/8W, 1%, 0805",Resistor
"Resistor, RoHS, 180, 1/8W, 1%, 0805",Resistor
"Resistor, RoHS, 47, 1/8W, 1%, 0805",Resistor
"Resistor, RoHS, 33k, 1/8W, 1%, 0805",Resistor
"Resistor, RoHS, 0.25, 2W, 1%, 2512",Resistor
"Resistor, RoHS, 10, 2W, 1%, 2512",Resistor
"Resistor, RoHS, 174, 1/8W, 1%, 0805",Resistor
"RES, 100 3W 5% AXIAL",Resistor
"Res, 510ohm, 1/2 W, 5%, AFCF",Resistor
"Res,680,1/2W,CF,5%",Resistor
"Res, 10 ohm, 1 W, 5%, MF",Resistor
"Res, 360, 2W, 5%, MF, Axial",Resistor
"Res, 51, 5%, 2W, MF, Axial",Resistor
"Res,100,1/4W,1%,MF,Axial",Resistor
"Res,1.00K",Resistor
"Res,10.0K",Resistor
"Res, RoHS, 10.0K, _W, 1%, MF, Axial",Resistor
"Res,100K",Resistor
"Res,RoHS,100K,1/4W,1%,MF,Axial",Resistor
"Res,1.00M",Resistor
"Res, 110K, 1/8W, 1%, 1206",Resistor
"Res,10.0",Resistor
"Res, 10.2K, 1%,1/4W",Resistor
"Res,113K,1%,1/4W",Resistor
"RES,121,1/4W,1%,MF,AXIAL",Resistor
"Res, 12.1 K, 1/4 W, 1 %",Resistor
"Res,1.30K,0.25W,1%, SMD1206",Resistor
"Res, RoHS, 1.30K, 1/4W, 1%, MF, Axial",Resistor
"Res,1.50K",Resistor
"Res,15.0K",Resistor
"Res,150K, 1/4W, 1%",Resistor
"Res,1.69K",Resistor
"Res,2.00K",Resistor
"RES,2.00M,1/4W,1%,MF,AXIAL",Resistor
RES 20.0 Ohm 1/4W 1% Axial,Resistor
"Res, RoHS,20.0, 1/4W, 1%, MF, Axial",Resistor
"Res, RoHS, 20.0K, 1/10W, 0.1%, 0603",Resistor
"Res, RoHS, 2.67K, 1/10W, 0.1%, 0603",Resistor
"Res,2.21K",Resistor
"Res,2.37K",Resistor
"Res, 2.61K, 1/4 W, 1%",Resistor
"Res,267,1/4W,1%,MF,Axial",Resistor
"Res, 3.0 ohm, 1/4W, 5%, A4F CF",Resistor
"Res,301,1/4W,1%,MF,Axial",Resistor
"Res,3.01K",Resistor
"RES,3.01M,1/4W,1%,MF,AXIAL",Resistor
"Res,301K,1/4W,1%",Resistor
"Res,332 OHM 1/4W",Resistor
"Res,3.32K,1/4W,1%,MF,Axial",Resistor
"Res,332K,1/4W,1%,MF,Axial",Resistor
"Res,4.02K",Resistor
"Res, 475",Resistor
"Res, 475K, 1/4W, 1%",Resistor
"Res,499",Resistor
"Res,4.99K",Resistor
"Res, 49.9K, 1/4W, 1%",Resistor
"Res,4.99M",Resistor
"Res,49.9",Resistor
"Res,51.1K,1/4W,1%,MF,Axial",Resistor
"Res,511K,1/4W,1%,MF,Axial",Resistor
"Res, 5.23K, 1/4W, 1%",Resistor
"Res, 536ohm, 1/4W, 1%",Resistor
"Res,5.36K",Resistor
"Res,61.9,1/4W,1%,MF,Axial",Resistor
"Res,63.4K",Resistor
"Res,6.34K,0.25W,1%, SMD 1206",Resistor
"Res, RoHS, 6.34K, 1/4W, 1%, MF, Axial",Resistor
"Res, 66.5K, 1/8W, 1%, 1206",Resistor
RES 681 1/4W 1% MF AXIAL,Resistor
"Res,6.81K",Resistor
"Res,7.15K,1/4Watt,MF,1%",Resistor
"Res,8.25K,1/4W,1%,MF,Axial",Resistor
"Res,90.9K,1/4W,1%,MF",Resistor
"Res, 191K, 1/4W, 1%",Resistor
"Res, 191, 1/8W, 1%, 0805",Resistor
"Res,1.00K,1/8W,0.1%",Resistor
"Res, RoHS, 1.00K, 1/2W, 0.1%, MF, Axial",Resistor
"Res,10.0K,1/8W,0.1%",Resistor
"Res, RoHS, 10.0K, 1/2W, 0.1%, MF, Axial",Resistor
"Res,100K,MF,0.1%",Resistor
"Res, RoHS, 100K, 1/2W, 0.1%, MF, Axial",Resistor
"Res,10K,1/4W,0.1%,25PPM,MF,Axial",Resistor
"Res,100K,1/4W,0.1%,25PPM,MF,Axial",Resistor
"Res,1K,1/4W,0.1%,25PPM,MF,Axial",Resistor
"Res, 130K, 1/8W, 1 %, 1206",Resistor
"Res,1.47K,1/4W,1%, MF",Resistor
"Res,16.2K,1/4W,1%,MF,Axial 0.4",Resistor
"Res,17.8K,1/4W,1%,MF,Axial Lead",Resistor
"Res,2.00K,1/8W,0.1%",Resistor
"Res, RoHS, 2.00K, 1/2W, 0.1%, MF, Axial",Resistor
"Res,200K,MF,1/10W,0.1%",Resistor
"Res, RoHS, 200K, 1/2W, 0.1%, MF, Axial",Resistor
"Res,2K,1/4W,0.1%,25PPM,MF,Axial",Resistor
"Res,21.0K,1/4W,1%,MF,Axial Lead",Resistor
RES 24 3W 5% MF AXIAL,Resistor
"RES,ROHS,24, 3W, 5%, MF, AXIAL",Resistor
"Res,2.43K,1/4W,1%,MF,Axial",Resistor
"Res,274,1/4W,1%,MF,Axial Lead",Resistor
"Res,2.91K,MF,1/10W,0.1%",Resistor
"Res, RoHS, 2.91K, 1/2W, 0.1%, MF, Axial",Resistor
"Res,34.8K,1/4W,1%,MF,Axial Lead",Resistor
"Res,402,MF,1/4W,0.1%",Resistor
"Res, RoHS, 402, 1/2W, 0.1%, MF, Axial",Resistor
"Res, 5.1, 1/4W,  5%, 1206",Resistor
"RES,ROHS,5.1, 1/4W,  5%, 1206",Resistor
"Res, 523K, 1/8W, 1%, 1206",Resistor
"Res,75.0,1/4W,1%,MF,Axial Lead",Resistor
"Res,8.66K,1/4W,1%,MF,Axial Lead",Resistor
"Res, 10, 50W, 1%, TO220",Resistor
"Res,0.02,20W,1%,TO220",Resistor
"Res, RoHS, 0.02,20W,1%,TO220",Resistor
"Res, 25.0, 25W, 1%, TO126",Resistor
"Res, 50.0, 50W, 1%, TO220",Resistor
"RES,ROHS,50.0, 50W, 1%, TO22O",Resistor
"Res,75, 1%, TO220",Resistor
"Res, RoHS, 75, 1%, TO220",Resistor
"Res,100,20W,1%,TO220",Resistor
"Res,100,50W,1%,TO220",Resistor
"RES,ROHS,100,50W,1%,TO220",Resistor
"Res, 0.01, 16W, 5%,TO220",Resistor
"RES,ROHS,0.01, 16W, 5%,TO220",Resistor
"Res, 0.1, 20W, 1%, TO220",Resistor
"RES,ROHS,0.1, 20W, 1%, TO220",Resistor
"Res, RoHS, 1 ohm, 30W, 1%, TO220",Resistor
"Res, RoHS, 200, 50W, 1%, TO220",Resistor
"RES,ROHS,250, 50W, 1%, TO220",Resistor
"Res, 25, 50W, 1%, TO220",Resistor
"Res, 330, 50W, 1%, TO220",Resistor
"Res,500,50W,1%,TO220",Resistor
"Res, RoHS, 500, 50W, 1%, TO220",Resistor
"Res,75.0, 50W, 1%, TO220",Resistor
"Res, 0.10, 16W, 1%, TO22O",Resistor
"Res, 1.00K, 1/8W, 1%, MF, 0805",Resistor
"Res,RoHS, 1.00K, 1/8W, 1%, MF, 0805",Resistor
"Res, 1M, 1/10W, 1%, MF, 0805",Resistor
"Res, RoHS, 1M, 1/8W, 1%, MF, 0805",Resistor
"Res, 10K, 1/8W, 1%, MF, 0805",Resistor
"Res, RoHS, 10K, 1/8W, 1%, MF, 0805",Resistor
"Res, 10M, 1/8W, 5%, MF, 0805",Resistor
"Res,RoHS,10M, 1/8W, 5%, MF, 0805",Resistor
"Res, 10K, 1/8W, 0.1%, 0805",Resistor
"Res, RoHS, 10K, 1/8W, 0.1%, 0805",Resistor
"Res,1.00K,1/8 or 1/10W, 0.1%, 0805",Resistor
"Res, RoHS, 1.00K,1/8 or 1/10W, 0.1%",Resistor
"Res,200K,1/8 or 1/10W, 0.1%, 0805",Resistor
"Res,RoHS, 200K,1/8 or 1/10W, 0.1%, 0805",Resistor
"Res, 100K, 1/8W, 0.1%, 0805",Resistor
"Res,RoHS, 100K, 1/8W, 0.1%, 0805",Resistor
"Res, 1.0, 1/8W, 5%, 0805",Resistor
"Res,RoHS,1.0, 1/8W, 5%, 0805",Resistor
"Res, 10, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 10, 1/8W, 1%, 0805",Resistor
"Res, 100, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 100, 1/8W, 1%, 0805",Resistor
"Res, 100K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 100K, 1/8W, 1%, 0805",Resistor
"Res, 10.2K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 10.2K, 1/8W, 1%, 0805",Resistor
"Res, 102, 1/8W, 0.1%, 1206",Resistor
"Res, RoHS, 102, 1/8W, 0.1%, 1206",Resistor
"Res, 165K, 1/8W, 0.1%, 0805",Resistor
"Res, 9.09K, 1/8W, 0.1%, 0805",Resistor
"Res, RoHS, 9.09K, 1/8W, 0.1%, 0805",Resistor
"Res, 604K, 1/3W, 0.1%, 1206",Resistor
"Res,100, 1/8W, 0.1%, 0805",Resistor
"Res,3.01K, 1/8W, 0.1%, 0805",Resistor
"Res, RoHS, 1.13K, 1/8W, 1%, 0805",Resistor
"Res, 11.3K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 11.3K, 1/8W, 1%, 0805",Resistor
"Res, 113K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 13.7K, 1/8W, 0.1%, 0805",Resistor
"Res, RoHS, 1.62K, 1/8W, 0.1%, 0805",Resistor
"Res, 1.82K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 1.82K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 255K, 1/8W, 1%, 0805",Resistor
"Res, 1.30K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 1.30K, 1/8W, 1%, 0805",Resistor
"Res, 13.3K, 1/10W, 1%, 0805",Resistor
"Res, 3.48K, 1%, 1/10W, 0805",Resistor
"Res, RoHS, 3.40K, 1/8W, 1%, 0805",Resistor
"Res, 14.0K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 14.0K, 1/8W, 1%, 0805",Resistor
"Res, 1.40K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 1.40K, 1/8W, 1%, 0805",Resistor
"Res, 1.50K, 1/8W, 0.1%, 0805",Resistor
"Res, RoHS, 1.50K,1/8W or 1/10W, 0.1%,0805",Resistor
"Res, 15.0K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 15.0K, 1/8W, 1%, 0805",Resistor
"Res, 15.8K, 1/8W, 1%, 0805",Resistor
"Res, 158K, 1/8W, 1%, 0805,SMT",Resistor
"Res, RoHS, 158K, 1/8W, 1%, 0805,SMT",Resistor
"Res, RoHS, 90.9K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 191K, 1/8W, 1%, 0805",Resistor
"Res,20K,1/10W,0.1%,0805",Resistor
"Res, RoHS, 20K,1/10W,0.1%,0805",Resistor
"Res, 20K, 1/8W, 1%, 0805",Resistor
"RES,ROHS, 20K, 1/8W, 1%, 0805",Resistor
"Res,2.0K,1/8W OR 1/10W, 0.1%,0805",Resistor
"Res, RoHS, 2.0K,1/8W OR 1/10W, 0.1%,0805",Resistor
"Res, 2.1K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 2.1K, 1/8W, 1%, 0805",Resistor
"Res, 2.21K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 2.21K, 1/8W, 1%, 0805",Resistor
"Res, 200K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 200K, 1/8W, 1%, 0805",Resistor
"Res, 21.0K, 1/8W, 1%, 0805",Resistor
"Res, RoHS, 21.0K, 1/8W, 1%, 0805",Resistor
"Res, 215, 1/8W, 1%, 0805, SMD",Resistor
"Res, 2.26K, 1/8W, 1%, 0805",Resistor
"Res, 237, 1/8W, 1%, 0805, SMD",Resistor
"Res, 2.37K, 1%, 1/10W, 0805",Resistor
